date,positive,death,positiveIncrease,deathIncrease,positiveIncrease,deathIncrease
2020-02-20,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,5,0,5,0,5,0
2020-03-17,5,0,0,0,0,0
2020-03-18,5,0,0,0,0,0
2020-03-19,5,0,0,0,0,0
2020-03-20,14,0,9,0,9,0
2020-03-21,21,1,7,1,7,1
2020-03-22,23,1,2,0,2,0
2020-03-23,31,2,8,1,8,1
2020-03-24,39,2,8,0,8,0
2020-03-25,51,2,12,0,12,0
2020-03-26,64,2,13,0,13,0
2020-03-27,79,3,15,1,15,1
2020-03-28,100,3,21,0,21,0
2020-03-29,127,3,27,0,27,0
2020-03-30,174,6,47,3,47,3
2020-03-31,239,8,65,2,65,2
2020-04-01,286,11,47,3,47,3
2020-04-02,316,12,30,1,30,1
2020-04-03,316,15,0,3,0,3
2020-04-04,452,18,136,3,136,3
2020-04-05,475,20,23,2,23,2
2020-04-06,513,21,38,1,38,1
2020-04-07,573,23,60,2,60,2
2020-04-08,620,24,47,1,47,1
2020-04-09,683,33,63,9,63,9
2020-04-10,725,39,42,6,42,6
2020-04-11,788,42,63,3,63,3
2020-04-12,897,44,109,2,109,2
2020-04-13,903,45,6,1,6,1
2020-04-14,923,45,20,0,20,0
2020-04-15,974,51,51,6,51,6
2020-04-16,1043,56,69,5,69,5
2020-04-17,1068,58,25,2,25,2
2020-04-18,1118,60,50,2,50,2
2020-04-19,1213,62,95,2,95,2
2020-04-20,1252,63,39,1,39,1
2020-04-21,1298,64,46,1,46,1
2020-04-22,1252,63,-46,-1,-46,-1
2020-04-23,1416,69,164,6,164,6
2020-04-24,1276,77,-140,8,-140,8
2020-04-25,1307,83,31,6,31,6
2020-04-26,1371,84,64,1,64,1
2020-04-27,1389,84,18,0,18,0
2020-04-28,1400,86,11,2,11,2
2020-04-29,1433,86,33,0,33,0
2020-04-30,1539,92,106,6,106,6
2020-05-01,1575,94,36,2,36,2
2020-05-02,1757,95,182,1,182,1
2020-05-03,1808,97,51,2,51,2
2020-05-04,1843,97,35,0,35,0
2020-05-05,1924,99,81,2,81,2
2020-05-06,1968,99,44,0,44,0
2020-05-07,2031,102,63,3,63,3
2020-05-08,2156,107,125,5,125,5
2020-05-09,2173,108,17,1,17,1
2020-05-10,2198,111,25,3,25,3
2020-05-11,2256,113,58,2,58,2
2020-05-12,2299,114,43,1,43,1
2020-05-13,2329,115,30,1,30,1
2020-05-14,2427,117,98,2,98,2
2020-05-15,2542,122,115,5,115,5
2020-05-16,2589,122,47,0,47,0
2020-05-17,2646,123,57,1,57,1
2020-05-18,2710,124,64,1,64,1
2020-05-19,2805,124,95,0,95,0
2020-05-20,2866,125,61,1,61,1
2020-05-21,2913,126,47,1,47,1
2020-05-22,3030,126,117,0,117,0
2020-05-23,3100,127,70,1,70,1
2020-05-24,3189,127,89,0,89,0
2020-05-25,3260,129,71,2,71,2
2020-05-26,3324,129,64,0,64,0
2020-05-27,3397,129,73,0,73,0
2020-05-28,3486,131,89,2,89,2
2020-05-29,3647,132,161,1,161,1
2020-05-30,3718,133,71,1,71,1
2020-05-31,3776,136,58,3,58,3
2020-06-01,3873,136,97,0,97,0
2020-06-02,3935,138,62,2,62,2
2020-06-03,4023,140,88,2,88,2
2020-06-04,4508,140,485,0,485,0
2020-06-05,4620,141,112,1,112,1
2020-06-06,4915,142,295,1,295,1
2020-06-07,4985,142,70,0,70,0
2020-06-08,5046,142,61,0,61,0
2020-06-09,5185,142,139,0,139,0
2020-06-10,5329,143,144,1,144,1
2020-06-11,5352,144,23,1,23,1
2020-06-12,5536,146,184,2,184,2
2020-06-13,5690,146,154,0,154,0
