"location","target","type","quantile","forecast_date","target_end_date","value"
"72","4 wk ahead cum death","quantile",0.01,2020-05-31,"2020-06-27",143.605708327285
"72","4 wk ahead cum death","quantile",0.025,2020-05-31,"2020-06-27",145.19897299875
"72","4 wk ahead cum death","quantile",0.05,2020-05-31,"2020-06-27",146.671613691065
"72","4 wk ahead cum death","quantile",0.1,2020-05-31,"2020-06-27",149.249049084122
"72","4 wk ahead cum death","quantile",0.15,2020-05-31,"2020-06-27",150.87329879435
"72","4 wk ahead cum death","quantile",0.2,2020-05-31,"2020-06-27",152.473642604272
"72","4 wk ahead cum death","quantile",0.25,2020-05-31,"2020-06-27",154.070243588402
"72","4 wk ahead cum death","quantile",0.3,2020-05-31,"2020-06-27",155.525255426356
"72","4 wk ahead cum death","quantile",0.35,2020-05-31,"2020-06-27",157.217635471731
"72","4 wk ahead cum death","quantile",0.4,2020-05-31,"2020-06-27",158.954498756877
"72","4 wk ahead cum death","quantile",0.45,2020-05-31,"2020-06-27",160.766256309415
"72","4 wk ahead cum death","quantile",0.5,2020-05-31,"2020-06-27",162.335383171006
"72","4 wk ahead cum death","quantile",0.55,2020-05-31,"2020-06-27",164.204701046272
"72","4 wk ahead cum death","quantile",0.6,2020-05-31,"2020-06-27",165.868130210519
"72","4 wk ahead cum death","quantile",0.65,2020-05-31,"2020-06-27",168.001441650375
"72","4 wk ahead cum death","quantile",0.7,2020-05-31,"2020-06-27",170.421726988641
"72","4 wk ahead cum death","quantile",0.75,2020-05-31,"2020-06-27",173.631822224707
"72","4 wk ahead cum death","quantile",0.8,2020-05-31,"2020-06-27",177.786716772427
"72","4 wk ahead cum death","quantile",0.85,2020-05-31,"2020-06-27",182.421911559665
"72","4 wk ahead cum death","quantile",0.9,2020-05-31,"2020-06-27",187.91472715346
"72","4 wk ahead cum death","quantile",0.95,2020-05-31,"2020-06-27",197.360429701002
"72","4 wk ahead cum death","quantile",0.975,2020-05-31,"2020-06-27",208.115761613338
"72","4 wk ahead cum death","quantile",0.99,2020-05-31,"2020-06-27",227.987175254013
"72","3 wk ahead cum death","quantile",0.01,2020-05-31,"2020-06-20",142.21961043021
"72","3 wk ahead cum death","quantile",0.025,2020-05-31,"2020-06-20",143.604608241119
"72","3 wk ahead cum death","quantile",0.05,2020-05-31,"2020-06-20",144.61008027921
"72","3 wk ahead cum death","quantile",0.1,2020-05-31,"2020-06-20",146.85124980303
"72","3 wk ahead cum death","quantile",0.15,2020-05-31,"2020-06-20",148.010004182244
"72","3 wk ahead cum death","quantile",0.2,2020-05-31,"2020-06-20",149.244889470926
"72","3 wk ahead cum death","quantile",0.25,2020-05-31,"2020-06-20",150.445170176966
"72","3 wk ahead cum death","quantile",0.3,2020-05-31,"2020-06-20",151.448202628372
"72","3 wk ahead cum death","quantile",0.35,2020-05-31,"2020-06-20",152.698463406797
"72","3 wk ahead cum death","quantile",0.4,2020-05-31,"2020-06-20",154.00425883426
"72","3 wk ahead cum death","quantile",0.45,2020-05-31,"2020-06-20",155.524673007594
"72","3 wk ahead cum death","quantile",0.5,2020-05-31,"2020-06-20",156.721432879238
"72","3 wk ahead cum death","quantile",0.55,2020-05-31,"2020-06-20",157.989174760223
"72","3 wk ahead cum death","quantile",0.6,2020-05-31,"2020-06-20",159.413583007463
"72","3 wk ahead cum death","quantile",0.65,2020-05-31,"2020-06-20",160.980375443164
"72","3 wk ahead cum death","quantile",0.7,2020-05-31,"2020-06-20",162.871655547124
"72","3 wk ahead cum death","quantile",0.75,2020-05-31,"2020-06-20",165.104022808162
"72","3 wk ahead cum death","quantile",0.8,2020-05-31,"2020-06-20",167.878569984929
"72","3 wk ahead cum death","quantile",0.85,2020-05-31,"2020-06-20",171.510416034532
"72","3 wk ahead cum death","quantile",0.9,2020-05-31,"2020-06-20",174.850079406287
"72","3 wk ahead cum death","quantile",0.95,2020-05-31,"2020-06-20",181.661513041826
"72","3 wk ahead cum death","quantile",0.975,2020-05-31,"2020-06-20",189.10357607995
"72","3 wk ahead cum death","quantile",0.99,2020-05-31,"2020-06-20",197.830844071341
"72","2 wk ahead cum death","quantile",0.01,2020-05-31,"2020-06-13",140.587983793451
"72","2 wk ahead cum death","quantile",0.025,2020-05-31,"2020-06-13",141.55220152971
"72","2 wk ahead cum death","quantile",0.05,2020-05-31,"2020-06-13",142.23174633488
"72","2 wk ahead cum death","quantile",0.1,2020-05-31,"2020-06-13",143.827779304745
"72","2 wk ahead cum death","quantile",0.15,2020-05-31,"2020-06-13",144.621341352845
"72","2 wk ahead cum death","quantile",0.2,2020-05-31,"2020-06-13",145.498302366952
"72","2 wk ahead cum death","quantile",0.25,2020-05-31,"2020-06-13",146.311074028771
"72","2 wk ahead cum death","quantile",0.3,2020-05-31,"2020-06-13",146.998874332876
"72","2 wk ahead cum death","quantile",0.35,2020-05-31,"2020-06-13",147.694449797523
"72","2 wk ahead cum death","quantile",0.4,2020-05-31,"2020-06-13",148.471809199815
"72","2 wk ahead cum death","quantile",0.45,2020-05-31,"2020-06-13",149.516310007279
"72","2 wk ahead cum death","quantile",0.5,2020-05-31,"2020-06-13",150.491199605897
"72","2 wk ahead cum death","quantile",0.55,2020-05-31,"2020-06-13",151.324248964645
"72","2 wk ahead cum death","quantile",0.6,2020-05-31,"2020-06-13",152.239941420017
"72","2 wk ahead cum death","quantile",0.65,2020-05-31,"2020-06-13",153.187494763726
"72","2 wk ahead cum death","quantile",0.7,2020-05-31,"2020-06-13",154.463370376275
"72","2 wk ahead cum death","quantile",0.75,2020-05-31,"2020-06-13",155.989720324892
"72","2 wk ahead cum death","quantile",0.8,2020-05-31,"2020-06-13",157.641132051087
"72","2 wk ahead cum death","quantile",0.85,2020-05-31,"2020-06-13",159.769486299749
"72","2 wk ahead cum death","quantile",0.9,2020-05-31,"2020-06-13",162.306415517658
"72","2 wk ahead cum death","quantile",0.95,2020-05-31,"2020-06-13",166.270270223759
"72","2 wk ahead cum death","quantile",0.975,2020-05-31,"2020-06-13",170.254294744702
"72","2 wk ahead cum death","quantile",0.99,2020-05-31,"2020-06-13",175.203717510222
"72","1 wk ahead cum death","quantile",0.01,2020-05-31,"2020-06-06",138.368306902789
"72","1 wk ahead cum death","quantile",0.025,2020-05-31,"2020-06-06",138.789822787657
"72","1 wk ahead cum death","quantile",0.05,2020-05-31,"2020-06-06",139.197330635618
"72","1 wk ahead cum death","quantile",0.1,2020-05-31,"2020-06-06",139.834241532617
"72","1 wk ahead cum death","quantile",0.15,2020-05-31,"2020-06-06",140.240389696869
"72","1 wk ahead cum death","quantile",0.2,2020-05-31,"2020-06-06",140.692853289042
"72","1 wk ahead cum death","quantile",0.25,2020-05-31,"2020-06-06",141.076059135122
"72","1 wk ahead cum death","quantile",0.3,2020-05-31,"2020-06-06",141.364979843623
"72","1 wk ahead cum death","quantile",0.35,2020-05-31,"2020-06-06",141.775255984041
"72","1 wk ahead cum death","quantile",0.4,2020-05-31,"2020-06-06",142.231333838343
"72","1 wk ahead cum death","quantile",0.45,2020-05-31,"2020-06-06",142.717016504518
"72","1 wk ahead cum death","quantile",0.5,2020-05-31,"2020-06-06",143.177301674335
"72","1 wk ahead cum death","quantile",0.55,2020-05-31,"2020-06-06",143.574006981787
"72","1 wk ahead cum death","quantile",0.6,2020-05-31,"2020-06-06",144.071584261419
"72","1 wk ahead cum death","quantile",0.65,2020-05-31,"2020-06-06",144.521725412843
"72","1 wk ahead cum death","quantile",0.7,2020-05-31,"2020-06-06",145.068887877709
"72","1 wk ahead cum death","quantile",0.75,2020-05-31,"2020-06-06",145.806421609515
"72","1 wk ahead cum death","quantile",0.8,2020-05-31,"2020-06-06",146.499671678387
"72","1 wk ahead cum death","quantile",0.85,2020-05-31,"2020-06-06",147.459365363211
"72","1 wk ahead cum death","quantile",0.9,2020-05-31,"2020-06-06",148.790218779828
"72","1 wk ahead cum death","quantile",0.95,2020-05-31,"2020-06-06",151.163699382784
"72","1 wk ahead cum death","quantile",0.975,2020-05-31,"2020-06-06",153.072343173505
"72","1 wk ahead cum death","quantile",0.99,2020-05-31,"2020-06-06",154.922418826164
"36","4 wk ahead cum death","quantile",0.01,2020-05-31,"2020-06-27",23588.9708108498
"36","4 wk ahead cum death","quantile",0.025,2020-05-31,"2020-06-27",23646.0968733196
"36","4 wk ahead cum death","quantile",0.05,2020-05-31,"2020-06-27",23756.8120204952
"36","4 wk ahead cum death","quantile",0.1,2020-05-31,"2020-06-27",23840.6494698437
"36","4 wk ahead cum death","quantile",0.15,2020-05-31,"2020-06-27",23912.6385430617
"36","4 wk ahead cum death","quantile",0.2,2020-05-31,"2020-06-27",23974.7341526053
"36","4 wk ahead cum death","quantile",0.25,2020-05-31,"2020-06-27",24051.7598321223
"36","4 wk ahead cum death","quantile",0.3,2020-05-31,"2020-06-27",24104.7714104402
"36","4 wk ahead cum death","quantile",0.35,2020-05-31,"2020-06-27",24158.7255343525
"36","4 wk ahead cum death","quantile",0.4,2020-05-31,"2020-06-27",24209.503589152
"36","4 wk ahead cum death","quantile",0.45,2020-05-31,"2020-06-27",24257.5868510047
"36","4 wk ahead cum death","quantile",0.5,2020-05-31,"2020-06-27",24321.5954729599
"36","4 wk ahead cum death","quantile",0.55,2020-05-31,"2020-06-27",24382.7028846381
"36","4 wk ahead cum death","quantile",0.6,2020-05-31,"2020-06-27",24444.6266642047
"36","4 wk ahead cum death","quantile",0.65,2020-05-31,"2020-06-27",24516.1656130537
"36","4 wk ahead cum death","quantile",0.7,2020-05-31,"2020-06-27",24623.5108686526
"36","4 wk ahead cum death","quantile",0.75,2020-05-31,"2020-06-27",24753.6727563021
"36","4 wk ahead cum death","quantile",0.8,2020-05-31,"2020-06-27",24861.4268448097
"36","4 wk ahead cum death","quantile",0.85,2020-05-31,"2020-06-27",24977.6278868174
"36","4 wk ahead cum death","quantile",0.9,2020-05-31,"2020-06-27",25136.7389501837
"36","4 wk ahead cum death","quantile",0.95,2020-05-31,"2020-06-27",25331.3660452051
"36","4 wk ahead cum death","quantile",0.975,2020-05-31,"2020-06-27",25642.307635239
"36","4 wk ahead cum death","quantile",0.99,2020-05-31,"2020-06-27",25944.5852348928
"36","3 wk ahead cum death","quantile",0.01,2020-05-31,"2020-06-20",23504.4790618977
"36","3 wk ahead cum death","quantile",0.025,2020-05-31,"2020-06-20",23551.798107869
"36","3 wk ahead cum death","quantile",0.05,2020-05-31,"2020-06-20",23644.1066040693
"36","3 wk ahead cum death","quantile",0.1,2020-05-31,"2020-06-20",23713.0887085442
"36","3 wk ahead cum death","quantile",0.15,2020-05-31,"2020-06-20",23773.5687547261
