"location","target","type","quantile","forecast_date","target_end_date","value"
"72","1 wk ahead cum death","quantile",0.01,2020-05-17,"2020-05-23",127.648181946052
"72","1 wk ahead cum death","quantile",0.025,2020-05-17,"2020-05-23",128.478667004877
"72","1 wk ahead cum death","quantile",0.05,2020-05-17,"2020-05-23",129.214270548516
"72","1 wk ahead cum death","quantile",0.1,2020-05-17,"2020-05-23",130.270009747643
"72","1 wk ahead cum death","quantile",0.15,2020-05-17,"2020-05-23",130.977379090488
"72","1 wk ahead cum death","quantile",0.2,2020-05-17,"2020-05-23",131.678074721025
"72","1 wk ahead cum death","quantile",0.25,2020-05-17,"2020-05-23",132.461944159153
"72","1 wk ahead cum death","quantile",0.3,2020-05-17,"2020-05-23",133.007544401926
"72","1 wk ahead cum death","quantile",0.35,2020-05-17,"2020-05-23",133.661040691128
"72","1 wk ahead cum death","quantile",0.4,2020-05-17,"2020-05-23",134.202482252626
"72","1 wk ahead cum death","quantile",0.45,2020-05-17,"2020-05-23",134.827413219253
"72","1 wk ahead cum death","quantile",0.5,2020-05-17,"2020-05-23",135.501190972683
"72","1 wk ahead cum death","quantile",0.55,2020-05-17,"2020-05-23",136.204337659186
"72","1 wk ahead cum death","quantile",0.6,2020-05-17,"2020-05-23",137.021278907728
"72","1 wk ahead cum death","quantile",0.65,2020-05-17,"2020-05-23",137.79063428788
"72","1 wk ahead cum death","quantile",0.7,2020-05-17,"2020-05-23",138.640988171746
"72","1 wk ahead cum death","quantile",0.75,2020-05-17,"2020-05-23",139.529647334433
"72","1 wk ahead cum death","quantile",0.8,2020-05-17,"2020-05-23",140.587182511432
"72","1 wk ahead cum death","quantile",0.85,2020-05-17,"2020-05-23",141.947864167389
"72","1 wk ahead cum death","quantile",0.9,2020-05-17,"2020-05-23",143.897947279028
"72","1 wk ahead cum death","quantile",0.95,2020-05-17,"2020-05-23",146.598120783859
"72","1 wk ahead cum death","quantile",0.975,2020-05-17,"2020-05-23",149.052371294296
"72","1 wk ahead cum death","quantile",0.99,2020-05-17,"2020-05-23",151.286855588561
"72","2 wk ahead cum death","quantile",0.01,2020-05-17,"2020-05-30",131.64357415208
"72","2 wk ahead cum death","quantile",0.025,2020-05-17,"2020-05-30",133.192600540179
"72","2 wk ahead cum death","quantile",0.05,2020-05-17,"2020-05-30",134.941871569833
