"location","target","type","quantile","forecast_date","target_end_date","value"
"72","4 wk ahead cum death","quantile",0.01,2020-06-07,"2020-07-04",152.526619572241
"72","4 wk ahead cum death","quantile",0.025,2020-06-07,"2020-07-04",154.575098614857
"72","4 wk ahead cum death","quantile",0.05,2020-06-07,"2020-07-04",157.457132502827
"72","4 wk ahead cum death","quantile",0.1,2020-06-07,"2020-07-04",160.521838200553
"72","4 wk ahead cum death","quantile",0.15,2020-06-07,"2020-07-04",163.055610795681
"72","4 wk ahead cum death","quantile",0.2,2020-06-07,"2020-07-04",165.38017040172
"72","4 wk ahead cum death","quantile",0.25,2020-06-07,"2020-07-04",167.443609159449
"72","4 wk ahead cum death","quantile",0.3,2020-06-07,"2020-07-04",169.780962782597
"72","4 wk ahead cum death","quantile",0.35,2020-06-07,"2020-07-04",172.2779938656
"72","4 wk ahead cum death","quantile",0.4,2020-06-07,"2020-07-04",175.163160300713
"72","4 wk ahead cum death","quantile",0.45,2020-06-07,"2020-07-04",177.504217671029
"72","4 wk ahead cum death","quantile",0.5,2020-06-07,"2020-07-04",180.350681816727
"72","4 wk ahead cum death","quantile",0.55,2020-06-07,"2020-07-04",183.59127157397
"72","4 wk ahead cum death","quantile",0.6,2020-06-07,"2020-07-04",186.860214848534
"72","4 wk ahead cum death","quantile",0.65,2020-06-07,"2020-07-04",190.04307713033
"72","4 wk ahead cum death","quantile",0.7,2020-06-07,"2020-07-04",194.816782041176
"72","4 wk ahead cum death","quantile",0.75,2020-06-07,"2020-07-04",199.693540865508
"72","4 wk ahead cum death","quantile",0.8,2020-06-07,"2020-07-04",205.563306855129
"72","4 wk ahead cum death","quantile",0.85,2020-06-07,"2020-07-04",213.779662630977
"72","4 wk ahead cum death","quantile",0.9,2020-06-07,"2020-07-04",222.922506386649
"72","4 wk ahead cum death","quantile",0.95,2020-06-07,"2020-07-04",243.879251496281
"72","4 wk ahead cum death","quantile",0.975,2020-06-07,"2020-07-04",272.67236355239
"72","4 wk ahead cum death","quantile",0.99,2020-06-07,"2020-07-04",306.181815440091
"72","3 wk ahead cum death","quantile",0.01,2020-06-07,"2020-06-27",150.487721885239
"72","3 wk ahead cum death","quantile",0.025,2020-06-07,"2020-06-27",152.033594017927
"72","3 wk ahead cum death","quantile",0.05,2020-06-07,"2020-06-27",154.442673796964
"72","3 wk ahead cum death","quantile",0.1,2020-06-07,"2020-06-27",156.688030101783
"72","3 wk ahead cum death","quantile",0.15,2020-06-07,"2020-06-27",158.576165247491
"72","3 wk ahead cum death","quantile",0.2,2020-06-07,"2020-06-27",160.136247260231
"72","3 wk ahead cum death","quantile",0.25,2020-06-07,"2020-06-27",161.953661357634
"72","3 wk ahead cum death","quantile",0.3,2020-06-07,"2020-06-27",163.679033277624
"72","3 wk ahead cum death","quantile",0.35,2020-06-07,"2020-06-27",165.697482502793
"72","3 wk ahead cum death","quantile",0.4,2020-06-07,"2020-06-27",167.809473129235
