"forecast_date","target","target_end_date","location","type","quantile","value"
"2020-04-26","1 wk ahead cum case",2020-05-02,"01","point",NA,7628
"2020-04-26","1 wk ahead cum case",2020-05-02,"01","quantile",0.01,7052
"2020-04-26","1 wk ahead cum case",2020-05-02,"01","quantile",0.025,7127
"2020-04-26","1 wk ahead cum case",2020-05-02,"01","quantile",0.05,7182
"2020-04-26","1 wk ahead cum case",2020-05-02,"01","quantile",0.1,7265
"2020-04-26","1 wk ahead cum case",2020-05-02,"01","quantile",0.15,7318
"2020-04-26","1 wk ahead cum case",2020-05-02,"01","quantile",0.2,7359
"2020-04-26","1 wk ahead cum case",2020-05-02,"01","quantile",0.25,7398
"2020-04-26","1 wk ahead cum case",2020-05-02,"01","quantile",0.3,7445
"2020-04-26","1 wk ahead cum case",2020-05-02,"01","quantile",0.35,7485
"2020-04-26","1 wk ahead cum case",2020-05-02,"01","quantile",0.4,7531
"2020-04-26","1 wk ahead cum case",2020-05-02,"01","quantile",0.45,7574
"2020-04-26","1 wk ahead cum case",2020-05-02,"01","quantile",0.5,7628
"2020-04-26","1 wk ahead cum case",2020-05-02,"01","quantile",0.55,7672
"2020-04-26","1 wk ahead cum case",2020-05-02,"01","quantile",0.6,7713
"2020-04-26","1 wk ahead cum case",2020-05-02,"01","quantile",0.65,7756
"2020-04-26","1 wk ahead cum case",2020-05-02,"01","quantile",0.7,7799
"2020-04-26","1 wk ahead cum case",2020-05-02,"01","quantile",0.75,7845
"2020-04-26","1 wk ahead cum case",2020-05-02,"01","quantile",0.8,7924
"2020-04-26","1 wk ahead cum case",2020-05-02,"01","quantile",0.85,7997
"2020-04-26","1 wk ahead cum case",2020-05-02,"01","quantile",0.9,8061
"2020-04-26","1 wk ahead cum case",2020-05-02,"01","quantile",0.95,8123
"2020-04-26","1 wk ahead cum case",2020-05-02,"01","quantile",0.975,8174
"2020-04-26","1 wk ahead cum case",2020-05-02,"01","quantile",0.99,8288
"2020-04-26","2 wk ahead cum case",2020-05-09,"01","point",NA,9261
"2020-04-26","2 wk ahead cum case",2020-05-09,"01","quantile",0.01,7671
"2020-04-26","2 wk ahead cum case",2020-05-09,"01","quantile",0.025,7769
"2020-04-26","2 wk ahead cum case",2020-05-09,"01","quantile",0.05,7917
"2020-04-26","2 wk ahead cum case",2020-05-09,"01","quantile",0.1,8118
"2020-04-26","2 wk ahead cum case",2020-05-09,"01","quantile",0.15,8223
"2020-04-26","2 wk ahead cum case",2020-05-09,"01","quantile",0.2,8368
"2020-04-26","2 wk ahead cum case",2020-05-09,"01","quantile",0.25,8535
"2020-04-26","2 wk ahead cum case",2020-05-09,"01","quantile",0.3,8712
"2020-04-26","2 wk ahead cum case",2020-05-09,"01","quantile",0.35,8844
"2020-04-26","2 wk ahead cum case",2020-05-09,"01","quantile",0.4,8972
"2020-04-26","2 wk ahead cum case",2020-05-09,"01","quantile",0.45,9102
"2020-04-26","2 wk ahead cum case",2020-05-09,"01","quantile",0.5,9261
"2020-04-26","2 wk ahead cum case",2020-05-09,"01","quantile",0.55,9392
"2020-04-26","2 wk ahead cum case",2020-05-09,"01","quantile",0.6,9532
"2020-04-26","2 wk ahead cum case",2020-05-09,"01","quantile",0.65,9636
"2020-04-26","2 wk ahead cum case",2020-05-09,"01","quantile",0.7,9739
"2020-04-26","2 wk ahead cum case",2020-05-09,"01","quantile",0.75,9816
"2020-04-26","2 wk ahead cum case",2020-05-09,"01","quantile",0.8,9947
"2020-04-26","2 wk ahead cum case",2020-05-09,"01","quantile",0.85,10164
"2020-04-26","2 wk ahead cum case",2020-05-09,"01","quantile",0.9,10415
"2020-04-26","2 wk ahead cum case",2020-05-09,"01","quantile",0.95,10583
"2020-04-26","2 wk ahead cum case",2020-05-09,"01","quantile",0.975,10672
"2020-04-26","2 wk ahead cum case",2020-05-09,"01","quantile",0.99,10794
"2020-04-26","3 wk ahead cum case",2020-05-16,"01","point",NA,11335
"2020-04-26","3 wk ahead cum case",2020-05-16,"01","quantile",0.01,7980
"2020-04-26","3 wk ahead cum case",2020-05-16,"01","quantile",0.025,8191
"2020-04-26","3 wk ahead cum case",2020-05-16,"01","quantile",0.05,8361
"2020-04-26","3 wk ahead cum case",2020-05-16,"01","quantile",0.1,8681
"2020-04-26","3 wk ahead cum case",2020-05-16,"01","quantile",0.15,8909
"2020-04-26","3 wk ahead cum case",2020-05-16,"01","quantile",0.2,9246
"2020-04-26","3 wk ahead cum case",2020-05-16,"01","quantile",0.25,9857
"2020-04-26","3 wk ahead cum case",2020-05-16,"01","quantile",0.3,10172
"2020-04-26","3 wk ahead cum case",2020-05-16,"01","quantile",0.35,10514
"2020-04-26","3 wk ahead cum case",2020-05-16,"01","quantile",0.4,10831
"2020-04-26","3 wk ahead cum case",2020-05-16,"01","quantile",0.45,11065
"2020-04-26","3 wk ahead cum case",2020-05-16,"01","quantile",0.5,11335
"2020-04-26","3 wk ahead cum case",2020-05-16,"01","quantile",0.55,11586
"2020-04-26","3 wk ahead cum case",2020-05-16,"01","quantile",0.6,11820
"2020-04-26","3 wk ahead cum case",2020-05-16,"01","quantile",0.65,11969
"2020-04-26","3 wk ahead cum case",2020-05-16,"01","quantile",0.7,12154
"2020-04-26","3 wk ahead cum case",2020-05-16,"01","quantile",0.75,12350
"2020-04-26","3 wk ahead cum case",2020-05-16,"01","quantile",0.8,12555
"2020-04-26","3 wk ahead cum case",2020-05-16,"01","quantile",0.85,12973
"2020-04-26","3 wk ahead cum case",2020-05-16,"01","quantile",0.9,13540
"2020-04-26","3 wk ahead cum case",2020-05-16,"01","quantile",0.95,13933
"2020-04-26","3 wk ahead cum case",2020-05-16,"01","quantile",0.975,14090
"2020-04-26","3 wk ahead cum case",2020-05-16,"01","quantile",0.99,14231
"2020-04-26","4 wk ahead cum case",2020-05-23,"01","point",NA,14080
"2020-04-26","4 wk ahead cum case",2020-05-23,"01","quantile",0.01,8137
"2020-04-26","4 wk ahead cum case",2020-05-23,"01","quantile",0.025,8427
"2020-04-26","4 wk ahead cum case",2020-05-23,"01","quantile",0.05,8609
"2020-04-26","4 wk ahead cum case",2020-05-23,"01","quantile",0.1,9032
"2020-04-26","4 wk ahead cum case",2020-05-23,"01","quantile",0.15,9350
"2020-04-26","4 wk ahead cum case",2020-05-23,"01","quantile",0.2,9952
"2020-04-26","4 wk ahead cum case",2020-05-23,"01","quantile",0.25,11140
"2020-04-26","4 wk ahead cum case",2020-05-23,"01","quantile",0.3,12136
"2020-04-26","4 wk ahead cum case",2020-05-23,"01","quantile",0.35,12861
"2020-04-26","4 wk ahead cum case",2020-05-23,"01","quantile",0.4,13317
"2020-04-26","4 wk ahead cum case",2020-05-23,"01","quantile",0.45,13736
"2020-04-26","4 wk ahead cum case",2020-05-23,"01","quantile",0.5,14080
"2020-04-26","4 wk ahead cum case",2020-05-23,"01","quantile",0.55,14423
"2020-04-26","4 wk ahead cum case",2020-05-23,"01","quantile",0.6,14797
"2020-04-26","4 wk ahead cum case",2020-05-23,"01","quantile",0.65,15047
"2020-04-26","4 wk ahead cum case",2020-05-23,"01","quantile",0.7,15339
"2020-04-26","4 wk ahead cum case",2020-05-23,"01","quantile",0.75,15650
"2020-04-26","4 wk ahead cum case",2020-05-23,"01","quantile",0.8,15938
"2020-04-26","4 wk ahead cum case",2020-05-23,"01","quantile",0.85,16497
"2020-04-26","4 wk ahead cum case",2020-05-23,"01","quantile",0.9,17490
"2020-04-26","4 wk ahead cum case",2020-05-23,"01","quantile",0.95,18309
"2020-04-26","4 wk ahead cum case",2020-05-23,"01","quantile",0.975,18575
"2020-04-26","4 wk ahead cum case",2020-05-23,"01","quantile",0.99,19447
"2020-04-26","1 wk ahead inc case",2020-05-02,"01","point",NA,1388
"2020-04-26","1 wk ahead inc case",2020-05-02,"01","quantile",0.01,838
"2020-04-26","1 wk ahead inc case",2020-05-02,"01","quantile",0.025,909
"2020-04-26","1 wk ahead inc case",2020-05-02,"01","quantile",0.05,959
"2020-04-26","1 wk ahead inc case",2020-05-02,"01","quantile",0.1,1040
"2020-04-26","1 wk ahead inc case",2020-05-02,"01","quantile",0.15,1089
"2020-04-26","1 wk ahead inc case",2020-05-02,"01","quantile",0.2,1129
"2020-04-26","1 wk ahead inc case",2020-05-02,"01","quantile",0.25,1162
"2020-04-26","1 wk ahead inc case",2020-05-02,"01","quantile",0.3,1211
"2020-04-26","1 wk ahead inc case",2020-05-02,"01","quantile",0.35,1246
"2020-04-26","1 wk ahead inc case",2020-05-02,"01","quantile",0.4,1294
"2020-04-26","1 wk ahead inc case",2020-05-02,"01","quantile",0.45,1334
"2020-04-26","1 wk ahead inc case",2020-05-02,"01","quantile",0.5,1388
